Marital status,Application mode,Application order,Course,Day/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Widowed,12,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Higher Education—degree,Unknown,Intermediate Level Technicians and Professions,Student,no,no,no,yes,male,no,43,no,0,5,5,5,11.8,0,0,5,6,5,14,0,9.4,-0.8,-3.12,Graduate
Divorced,12,2,Management,Day,Basic education Higher educationÑdegreerd cycle (OtherÑSecondary educationSecondary educationth Yr of schoolingth/Secondary education0th Yr of schoolingth/Secondary education0th Yr of schoolingth Yr of schoolingÑnot completedth year) or equivalent,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,"Personal Services, Security and SafetyWorkers, and Sellers",no,no,yes,no,male,no,70,no,0,5,5,0,0,0,0,5,9,0,0,0,10.8,1.4,1.74,Dropout
Divorced,12,1,Equiniculture,Day,Basic education Higher educationÑdegreerd cycle (OtherÑSecondary educationSecondary educationth Yr of schoolingth/Secondary education0th Yr of schoolingth/Secondary education0th Yr of schoolingth Yr of schoolingÑnot completedth year) or equivalent,Portuguese,Supplementary Accounting and Administration,Unknown,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,48,no,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
Married,14,1,Agronomy,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,no,no,no,yes,male,no,41,no,18,19,19,19,12.68421053,0,12,13,13,13,12.38461538,0,15.5,2.8,-4.06,Graduate
Single,1,1,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Personal care workers and the like,Intermediate level science and engineering technicians and professions,no,no,no,yes,male,no,21,no,0,6,8,6,12.57142857,0,0,6,10,4,13,0,12.7,3.7,-1.7,Enrolled
Single,12,1,Biofuel Production Technologies,Day,Secondary education,Brazilian,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,no,male,no,35,yes,0,7,18,3,11.25,0,0,7,7,0,0,0,16.2,0.3,-0.92,Dropout
Married,12,1,Equiniculture,Day,Basic education Higher educationÑdegreerd cycle (OtherÑSecondary educationSecondary educationth Yr of schoolingth/Secondary education0th Yr of schoolingth/Secondary education0th Yr of schoolingth Yr of schoolingÑnot completedth year) or equivalent,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,Administrative staff,yes,no,no,yes,male,no,44,no,1,5,13,4,14,3,1,5,9,4,15.5,2,10.8,1.4,1.74,Graduate
Single,1,1,Management,Day,Secondary education,Portuguese,Higher Education—degree,Higher Education—degree,"Executive Bodies, Directors, Directors and Executive Managers","Executive Bodies, Directors, Directors and Executive Managers",yes,no,yes,yes,male,no,18,no,0,5,15,4,13.33333333,0,0,5,6,2,13.5,0,13.9,-0.3,0.79,Dropout
Married,1,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,45,no,0,6,7,6,13.66666667,0,0,6,6,6,13.66666667,0,7.6,2.6,0.32,Graduate
Single,1,1,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,20,no,0,6,12,3,10,0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Enrolled
Single,15,1,Agronomy,Day,Technological specialization course,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Technological specialization course,Administrative staff,"Executive Bodies, Directors, Directors and Executive Managers",yes,no,no,yes,male,no,22,no,0,6,12,5,12.6,0,0,6,11,6,11.71428571,0,12.4,0.5,1.79,Graduate
Single,14,1,Informatics Engineering,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,no,no,no,yes,male,no,39,no,0,5,10,3,17.33333333,0,0,5,11,1,17,0,13.9,-0.3,0.79,Dropout
Single,15,1,Veterinary Nursing,Day,Technological specialization course,Portuguese,General Course of Administration and Commerce,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Armed Forces Professions,no,no,no,no,male,no,20,no,2,6,10,5,13.2,0,1,6,21,3,12,0,12.4,0.5,1.79,Enrolled
Married,12,1,Management,Day,Basic education Higher educationÑdegreerd cycle (OtherÑSecondary educationSecondary educationth Yr of schoolingth/Secondary education0th Yr of schoolingth/Secondary education0th Yr of schoolingth Yr of schoolingÑnot completedth year) or equivalent,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Administrative staff,"Skilled Workers in Agriculture, Fisheries, and Forestry",no,no,no,yes,male,no,49,no,0,5,9,3,14,0,0,5,8,3,13.66666667,0,8.9,1.4,3.51,Dropout
Single,4,1,Oral Hygiene,Day,Higher educationÑdoctorate,Portuguese,Higher Education—bachelor’s degreend cycle of the general high school course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Student,Intermediate Level Technicians and Professions,yes,no,no,yes,male,no,43,no,4,4,4,4,13.875,0,1,1,1,1,12.5,0,11.1,0.6,2.02,Dropout
Married,12,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—bachelor’s degree,"Personal Services, Security and SafetyWorkers, and Sellers",Administrative staff,yes,no,no,yes,male,no,32,no,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
Single,12,1,Social Service,Day,OtherÑSecondary educationSecondary educationth Yr of schooling,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,47,no,3,9,9,9,13.11111111,0,3,7,7,7,14.85714286,0,10.8,1.4,1.74,Graduate
Facto Union,12,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers",Installation and Machine Operators and Assembly Workers,no,no,no,yes,male,yes,37,no,0,5,8,5,13,0,0,5,11,4,13.33333333,2,16.2,0.3,-0.92,Dropout
Married,12,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,no,no,no,yes,male,no,41,no,6,10,10,10,12.5,0,3,7,7,7,12.14285714,0,10.8,1.4,1.74,Graduate
Married,12,1,Agronomy,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers",Administrative staff,no,no,no,yes,male,no,60,no,17,18,18,18,14.11111111,0,11,13,13,13,14.23076923,0,15.5,2.8,-4.06,Graduate
Married,12,1,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,no,no,no,yes,male,no,47,no,6,11,11,11,14.72727273,0,6,9,9,9,15.77777778,0,10.8,1.4,1.74,Graduate
Single,12,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Other Situation;,Other Situation;,no,no,yes,no,male,no,50,no,0,6,6,0,0,0,0,5,6,0,0,0,12.4,0.5,1.79,Dropout
Married,12,1,Management (evening attendance),Evening ,Basic education Higher educationÑdegreerd cycle (OtherÑSecondary educationSecondary educationth Yr of schoolingth/Secondary education0th Yr of schoolingth/Secondary education0th Yr of schoolingth Yr of schoolingÑnot completedth year) or equivalent,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,male,no,45,no,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
Single,12,1,Informatics Engineering,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,"Personal Services, Security and SafetyWorkers, and Sellers",no,no,yes,no,male,no,45,no,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout
Married,12,1,Veterinary Nursing,Day,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,male,no,33,no,0,5,7,4,13.5,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
Single,1,1,Nursing,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Other administrative support staff,"construction, manufacturing, and transport",no,no,no,yes,male,no,18,no,0,8,8,7,13.10571429,0,0,8,8,7,13.10571429,0,10.8,1.4,1.74,Graduate
Married,12,1,Veterinary Nursing,Day,Secondary education,Portuguese,Higher Education—bachelor’s degreend cycle of the general high school course,Unknown,Student,Student,no,no,no,yes,male,no,43,no,0,5,8,5,13.5,2,0,5,5,5,14.4,0,9.4,-0.8,-3.12,Graduate
Single,14,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",no,no,no,yes,male,no,44,no,9,13,18,13,11.84615385,0,9,11,11,11,12,0,12.7,3.7,-1.7,Graduate
Single,12,1,Equiniculture,Day,Secondary educationHigher educationÑbachelorÕs degreeth Yr of schoolingÑnot completed,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Personal care workers and the like,Meal preparation assistants,no,no,no,yes,male,no,29,no,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
Divorced,12,1,Advertising and Marketing Management,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,no,male,no,53,no,0,6,11,3,14.33333333,0,0,6,6,0,0,0,12.7,3.7,-1.7,Dropout
Married,13,1,Management (evening attendance),Evening ,Frequency of higher education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,37,no,0,5,10,5,15.8,0,0,5,5,5,17.6,0,9.4,-0.8,-3.12,Enrolled
Single,14,1,Advertising and Marketing Management,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,"Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,male,no,18,no,0,6,16,5,13.8,0,0,6,7,5,12.4,0,13.9,-0.3,0.79,Enrolled
Single,14,1,Biofuel Production Technologies,Day,Basic education Higher educationÑdegreerd cycle (OtherÑSecondary educationSecondary educationth Yr of schoolingth/Secondary education0th Yr of schoolingth/Secondary education0th Yr of schoolingth Yr of schoolingÑnot completedth year) or equivalent,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,no,no,yes,yes,male,no,35,no,3,10,18,6,12.66666667,0,1,9,11,3,12,2,16.2,0.3,-0.92,Dropout
Single,1,1,Tourism,Day,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,no,no,no,yes,male,no,23,no,0,6,10,6,13,0,0,6,9,6,12,0,11.1,0.6,2.02,Enrolled
Single,1,1,Animation and Multimedia Design,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,no,yes,male,no,22,no,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Graduate
Single,12,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,Higher Education—degree,Higher Education—bachelor’s degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and SafetyWorkers, and Sellers",no,no,no,no,male,no,33,no,0,6,6,1,11,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
Single,4,3,Equiniculture,Day,Higher educationÑdegree,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,"Skilled Workers in Agriculture, Fisheries, and Forestry",no,no,no,no,male,no,41,no,0,5,9,0,0,4,0,5,9,0,0,3,10.8,1.4,1.74,Dropout
Divorced,4,1,Nursing,Day,Higher educationÑdegree,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,male,no,51,no,4,7,7,7,15.2,0,6,8,8,8,16.575,0,13.9,-0.3,0.79,Graduate
Single,16,1,Advertising and Marketing Management,Day,Secondary education,Portuguese,Higher Education—bachelor’s degree,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Administrative staff,Unskilled Workers,no,no,no,yes,male,no,19,no,2,6,7,6,14.42857143,0,1,7,8,7,14.375,0,11.1,0.6,2.02,Graduate
Single,12,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Higher Education—bachelor’s degreend cycle of the general high school course,Unknown,Student,Student,no,no,no,yes,male,no,35,no,0,5,5,0,0,0,0,5,5,0,0,0,11.1,0.6,2.02,Dropout
Single,1,2,Animation and Multimedia Design,Day,Secondary education,Brazilian,Supplementary Accounting and Administration,Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth Year of Schooling,Student,Student,yes,no,no,yes,male,no,20,yes,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Graduate
Single,14,1,Advertising and Marketing Management,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,male,no,18,no,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Enrolled
Single,1,1,Journalism and Communication,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,yes,no,male,yes,18,no,0,6,11,5,12.16666667,0,0,6,15,3,12,0,13.9,-0.3,0.79,Dropout
Single,15,1,Agronomy,Day,Technological specialization course,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,"Personal Services, Security and SafetyWorkers, and Sellers",no,no,no,yes,male,no,21,no,0,6,12,5,12.14285714,0,0,6,11,5,11.66666667,0,13.9,-0.3,0.79,Graduate
Single,1,1,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,21,no,0,6,9,6,12,0,0,6,8,5,11.6,0,13.9,-0.3,0.79,Graduate
Married,12,2,Management,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Data, accounting, statistical, financial services, and registry-related operators","construction, manufacturing, and transport",no,no,no,yes,male,no,34,no,0,5,10,3,11.66666667,1,0,5,7,4,12.75,0,9.4,-0.8,-3.12,Graduate
Divorced,12,1,Equiniculture,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,34,no,0,6,9,0,0,0,0,6,6,0,0,0,16.2,0.3,-0.92,Dropout
Single,8,2,Advertising and Marketing Management,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling,Unskilled Workers,Administrative staff,yes,no,no,yes,male,no,21,no,0,6,10,6,11.875,0,0,6,8,5,12,0,11.1,0.6,2.02,Graduate
Single,14,1,Journalism and Communication,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,male,no,32,no,6,11,15,7,11.28571429,0,5,7,10,6,12.33333333,0,13.9,-0.3,0.79,Enrolled
Single,8,2,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Administrative staff,Unskilled Workers,yes,no,no,yes,male,no,30,no,0,6,17,2,10,0,0,6,15,3,11.33333333,0,7.6,2.6,0.32,Dropout
Single,1,1,Animation and Multimedia Design,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",yes,no,yes,yes,male,no,19,no,6,12,13,11,12,0,4,11,15,10,11.18181818,0,8.9,1.4,3.51,Enrolled
Single,16,1,Journalism and Communication,Day,Secondary education,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers",Unskilled Workers,yes,no,no,yes,male,no,20,no,1,7,7,6,13.83333333,0,1,6,7,5,13,0,8.9,1.4,3.51,Dropout
Single,1,1,Communication Design,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,male,no,18,no,0,6,0,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,Dropout
Single,1,1,Tourism,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,male,no,19,no,0,6,7,6,14.42857143,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
Single,8,3,Nursing,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,male,no,18,no,0,7,8,5,14.2,0,0,7,9,6,12.4,0,12.4,0.5,1.79,Dropout
